Grammar,Swedish,English,Type,Examples
en,republikan,republican,noun-en,
en,gestalt,figure,noun-en,
,konstitutionell,constitutional,adjective,
,avslutningsvis,lastly,adverb,
en,indian,indian,noun-en,
,ingenstans,nowhere,adverb,
,nuförtiden,these days,adverb,
en,runda,round,noun-en,
,baltisk,baltic,adjective,
en,farfar,grandfather,noun-en,
att,förtydliga,clarifying,verb,
en,gärningsman,perpetrator,noun-en,
en,succ,succ,noun-en,
en,tröst,comfort,noun-en,
en,epok,epoch,noun-en,
en,intention,intention,noun-en,
en,nedskärning,cut,noun-en,
,tillika,also the,adverb,
en,remiss,referral,noun-en,
att,skåda,behold,verb,
att,bevittna,witness,verb,
en,främling,stranger,noun-en,
,juridik,law,noun-en,
en,utvisning,expulsion,noun-en,
,folkrätt,international law,noun-en,
,legitim,legitimate,adjective,
ett,bostadsområde,residential area,noun-ett,
,egyptisk,egyptian,adjective,
,glatt,smooth,adverb,
en,hyresgäst,tenant,noun-en,
,radikalt,radically,adverb,
en,vinge,wing,noun-en,
att,klassa,classify,verb,
en,legend,legend,noun-en,
ett,öre,penny,noun-ett,
,nazistisk,nazi,adjective,
,varsin,each,pronoun,
att,begrava,bury,verb,
en,funktionsnedsättning,disabilities,noun-en,
,kontra,versus,prep,
,persisk,persian,adjective,
ett,tillskott,contribution,noun-ett,
ett,klagomål,complaint,noun-ett,
ett,konstverk,artwork,noun-ett,
,kortsiktig,short term,adjective,
,avliden,deceased,adjective,
en,backe,slope,noun-en,
en,förespråkare,advocate,noun-en,
en,indikator,indicator,noun-en,
,nutida,contemporary,adjective,
en,textstorlek,text size,noun-en,
att,åta,undertake,verb,
,asiatisk,asian,adjective,
en,meny,menu,noun-en,
,muntlig,oral,adjective,
,nedre,lower,adjective,
en,regeringsform,of government,noun-en,e.g. regeringsformen
,otrevlig,unpleasant,adjective,
en,publikation,publication,noun-en,
en,halt,slippery,noun-en,
en,borg,fort,noun-en,
en,pedofil,pedophile,noun-en,
ett,porträtt,portrait,noun-ett,
,utomstående,outsider,adjective,
,ironi,irony,noun-en,
att,manipulera,manipulate,verb,
,afghansk,afghan,adjective,
,jag,i,noun-ett,
,utomhus,outside,adverb,
ett,privilegium,privilege,noun-ett,
en,rensning,cleaning,noun-en,
en,etapp,stage,noun-en,
att,minimera,minimize,verb,
,till,to,adverb,
,representation,representation,noun-en,
,latin,latin,noun-ett,
,måhända,perhaps,adverb,
,serbisk,serbian,adjective,
,estetisk,aesthetic,adjective,
att,explodera,explode,verb,
en,folkrörelse,popular movement,noun-en,
en,grundare,founder,noun-en,
en,konspiration,conspiracy,noun-en,
,kritiskt,critical,adverb,
en,kurva,curve,noun-en,
att,operera,operate,verb,
en,turn,touring,noun-en,
en,åskådare,spectator,noun-en,
en,forntid,antiquity,noun-en,
en,alliansregering,alliance government,noun-en,
,framgångsrikt,successfully,adverb,
,ovan,above,prep,
en,robot,robot,noun-en,
en,försvarare,defender,noun-en,
ett,landslag,national team,noun-ett,
,proportion,proportion,noun-en,
en,verkstad,workshop,noun-en,
en,ask,box,noun-en,
att,bomba,bomb,verb,
,jeans,jeans,noun-en,
en,jordbävning,earthquake,noun-en,
en,ratt,steering wheel,noun-en,
,brant,steep,adjective,
en,befälhavare,commander,noun-en,
en,bot,cure,noun-en,
en,dusch,shower,noun-en,
,konsensus,consensus,noun-en,
,könsneutral,gender neutral,adjective,
att,våldta,rape,verb,
att,skruva,screw,verb,
att,slutföra,complete,verb,
att,återspegla,reflect,verb,
ett,eko,echo,noun-ett,
en,horisont,horizon,noun-en,
att,inkomma,submit,verb,
ett,ministerråd,ministers,noun-ett,
en,beslutsfattare,makers,noun-en,
en,suck,sigh,noun-en,
att,utlösa,trigger,verb,
ett,flygbolag,airline,noun-ett,
en,spegel,mirror,noun-en,
,konventionell,conventional,adjective,
,metall,metal,noun-en,
,återstående,remaining,adjective,
,i,in,adverb,
en,lönsamhet,profitability,noun-en,
,vari,wherein,adverb,
,balanserad,balanced,adjective,
,antiken,antiquity,noun,
,innovativ,innovative,adjective,
att,utnämna,appoint,verb,
,islamistisk,islamic,adjective,
att,pricka,dot,verb,
en,tunnel,tunnel,noun-en,
,avreglering,deregulation,noun-en,
,bristfällig,inadequate,adjective,
,ensamstående,single,adjective,
,inomhus,indoor,adverb,
,kapabel,capable,adjective,
,autonom,autonomous,adjective,
,mekanisk,mechanical,adjective,
,övertygande,convincing,adjective,
,kvarvarande,remaining,adjective,
,vägnar,for,noun,e.g. på/å ngns vägnar
att,befara,fear,verb,
att,beundra,admire,verb,
ett,förfall,decay,noun-ett,
ett,toppmöte,summit,noun-ett,
ett,trakasseri,badgering,noun-ett,
en,kupp,coup,noun-en,
att,bistå,assist,verb,
att,sno,twist,verb,
,genuin,genuine,adjective,
,nuläge,situation,noun-ett,e.g. i nuläget
en,ros,rose,noun-en,
en,tittare,watchers,noun-en,
,trasig,broken,adjective,
en,check,check,noun-en,
,irrelevant,irrelevant,adjective,
,moraliskt,morally,adverb,
,överlag,overall,adverb,
,förstånd,understanding,noun-ett,
en,blockad,blockade,noun-en,
,nutid,present,noun-en,
en,omställning,conversion,noun-en,
en,rumpa,ass,noun-en,
,förebyggande,prevention,adjective,
en,notis,note,noun-en,
ett,mejl,email,noun-ett,
,moms,vat,noun-en,
ett,samspel,interplay,noun-ett,
ett,aktiebolag,limited company,noun-ett,
en,jävel,son of a bitch,noun-en,(stötande)
en,ledighet,leave,noun-en,
,prat,talk,noun-ett,
,uppför,up,prep,
ett,riksdagsbeslut,parliament decisions,noun-ett,
en,balkong,balcony,noun-en,
en,glass,ice cream,noun-en,
en,kallelse,calling,noun-en,
att,omsätta,reacting,verb,
,destruktiv,destructive,adjective,
en,för,for,noun-en,
att,sy,sew,verb,
,virtuell,virtual,adjective,
en,ärkebiskop,archbishop,noun-en,
att,invända,object,verb,
en,restriktion,restriction,noun-en,
,snar,short,adjective,
,upprörd,upset,adjective,
en,koncern,group,noun-en,
,minimal,minimal,adjective,
ett,konvent,convention,noun-ett,
,fientlig,hostile,adjective,
en,förfader,ancestor,noun-en,
att,underhålla,maintain,verb,
,vansinnig,insane,adjective,
en,biografi,biography,noun-en,
en,räddning,rescue,noun-en,
ett,rör,pipe,noun-ett,
att,fiska,fish,verb,
en,försämring,deterioration,noun-en,
,mode,fashion,noun-ett,
en,programledare,hostess,noun-en,
,ytlig,superficial,adjective,
,genomgående,through,adjective,
en,tron,throne,noun-en,
ett,efternamn,surname,noun-ett,
,hämnd,revenge,noun-en,
en,puls,pulse,noun-en,
en,tidsperiod,period,noun-en,
,medelålder,average age,noun-en,"e.g. medelåldern, medelålders"
,nyfikenhet,curiosity,noun-en,
,barnomsorg,childcare,noun-en,
,ggr,times,noun,
,framstående,eminent,adjective,
en,innehavare,holder,noun-en,
,funktionshindrad,disabled,adjective,
,isolering,insulation,noun-en,
ett,kreditkort,credit card,noun-ett,
,otillräcklig,insufficient,adjective,
en,arbetsmiljö,working environment,noun-en,
,fusk,cheating,noun-ett,
ett,lik,like,noun-ett,
en,nationalitet,nationality,noun-en,
,smör,butter,noun-ett,
att,tillträda,accede,verb,
en,bänk,bench,noun-en,
,korthet,briefly,noun,e.g. i korthet
ett,kungarike,kingdom,noun-ett,
en,målvakt,goalkeeper,noun-en,
en,svans,tail,noun-en,
att,utvisa,show,verb,
,lite,a little,adverb,
en,efterträdare,successor,noun-en,
en,led,point,noun-en,
,närstående,related,adjective,
,parallell,parallel,adjective,
,plötslig,sudden,adjective,
,rök,smoke,noun-en,
att,skälla,bark,verb,e.g. skälla ut
en,valp,puppy,noun-en,
en,fruktan,fear,noun-en,
,rekrytering,recruitment,noun-en,
en,förövare,perpetrator,noun-en,
,popularitet,popularity,noun-en,
att,symbolisera,emblematize,verb,
en,kollaps,collapse,noun-en,
en,kändis,celebrity,noun-en,
,ont,evil,noun,"e.g. ha ont, göra ont"
en,termin,term,noun-en,
,tills,until,adverb,
ett,dilemma,dilemma,noun-ett,
,smärtsam,painful,adjective,
,holländsk,dutch,adjective,
att,klämma,clamp,verb,
en,ateist,atheist,noun-en,
en,fotnot,footnote,noun-en,
att,samverka,cooperate,verb,
,antik,antique,adjective,
,krånglig,intricacies,adjective,
en,förpackning,packaging,noun-en,
att,överskrida,exceed,verb,
att,aktivera,activate,verb,
en,flytt,move,noun-en,
,vida,far,adverb,
en,älg,moose,noun-en,
en,förstörelse,destruction,noun-en,
,elegant,elegant,adjective,
en,avgång,departure,noun-en,
att,montera,mount,verb,
en,polisman,policeman,noun-en,
,preliminär,preliminary,adjective,
,primitiv,primitive,adjective,
en,avrättning,execution,noun-en,
,nedåt,down,adverb,
,real,real,adjective,
,överväldigande,overwhelmingly,adjective,
ett,gym,gym,noun-ett,
en,federation,federation,noun-en,
en,mötesplats,venue,noun-en,
,öster,east,noun,
ett,beslutsfattande,decision,noun-ett,
,psykiatri,psychiatry,noun-en,
en,handläggning,notices,noun-en,
att,utbryta,break out,verb,
,fientlighet,hostility,noun-en,
en,inredning,furnishings,noun-en,
ett,troll,troll,noun-ett,
,identisk,identical,adjective,
ett,riksförbund,riksförbund,noun-ett,
en,sal,hall,noun-en,
,förtjust,fond,adverb,
en,generalsekreterare,secretary general,noun-en,
att,genomsyra,permeate,verb,
en,öppning,opening,noun-en,
,obefintlig,non-existent,adjective,
,tillförlitlig,reliable,adjective,
en,näringsminister,enterprise,noun-en,
,protein,protein,noun-ett,
en,applåd,applause,noun-en,
en,ersättare,substitute,noun-en,
,onödigt,unnecessarily,adverb,
att,tjänstgöra,serve,verb,
att,fastslå,establish,verb,
,slut,final,adjective,
,solig,sunny,adjective,
en,gåta,riddle,noun-en,
,härlighet,glory,noun-en,
att,återuppta,resuming,verb,
att,fördriva,pass,verb,
en,hertig,duke,noun-en,
,påsk,easter,noun-en,
ett,komplement,complement,noun-ett,
ett,modersmål,mother tongue,noun-ett,
,beröm,praise,noun,e.g. få/ge beröm
ett,frö,seed,noun-ett,
en,installation,installation,noun-en,
att,släcka,slacken,verb,
,odds,odds,noun-ett,
ett,årsmöte,annual meeting,noun-ett,
,arm,arm,adjective,
en,kommunstyrelse,municipal,noun-en,
,mångkulturell,multi-cultural,adjective,
,varaktig,lasting,adjective,
ett,horn,horn,noun-ett,
en,sedel,banknote,noun-en,
en,valsedel,ballot,noun-en,
en,merit,merit,noun-en,
ett,skinn,leather,noun-ett,
ett,badrum,bathroom,noun-ett,
att,inbegripa,include,verb,
ett,sovrum,bedroom,noun-ett,
att,uppehålla,dwell,verb,
,opassande,inappropriate,adjective,
en,hårddisk,hard disk,noun-en,
en,insamling,collection,noun-en,
,oändligt,infinite,adverb,
en,påminnelse,reminder,noun-en,
,marin,marine,adjective,
en,opera,opera,noun-en,
en,aktieägare,shareholder,noun-en,
en,panel,panel,noun-en,
,på,on,adverb,
,inflytelserik,influential,adjective,
en,polismyndighet,police,noun-en,
en,vetenskapsman,scientist,noun-en,
,begåvad,talented,adjective,
en,miljöfråga,environmental issue,noun-en,
,miste,missing,particle,e.g. gå miste om
att,nicka,nod,verb,
,övervägande,predominant,adjective,
en,förtjänst,earnings,noun-en,
att,inge,tabling,verb,
,stolt,proud,adverb,
en,undergång,downfall,noun-en,
,ambitiös,ambitious,adjective,
,hebreisk,hebrew,adjective,
en,växelkurs,exchange rate,noun-en,
,möda,effort,noun-en,
,anklagad,accused,adjective,
ett,klassrum,classroom,noun-ett,
,kontinuerlig,continuous,adjective,
,si,si,adverb,"e.g. si och så, si så där (el. sisådär)"
en,entusiasm,enthusiasm,noun-en,
,respons,response,noun-en,
ett,monster,monster,noun-ett,
ett,rån,robbery,noun-ett,
,självkänsla,esteem,noun-en,
en,sammanhållning,cohesion,noun-en,
att,sammanfalla,coincide,verb,
,bara,only,subj,
,intensivt,intensively,adverb,
,optimal,optimal,adjective,
,suverän,sovereign,adjective,
,upp,up,adverb,
ett,apotek,pharmacy,noun-ett,
att,hälla,pour,verb,
att,käka,eat,verb,(vardagligt)
ett,fäste,attachment,noun-ett,
,hastigt,hastily,adverb,
,livslång,lifelong,adjective,
att,svälta,starve,verb,
att,välta,rollover,verb,
en,arbetsgivaravgift,employer,noun-en,
en,demon,demon,noun-en,
,fastighetsskatt,property,noun-en,
en,korridor,corridor,noun-en,
en,stridsvagn,tank,noun-en,
,tillvara,to be,particle,
ett,vittnesmål,testimony,noun-ett,
,ansvarsfull,responsible,adjective,
ett,bagage,luggage,noun-ett,
,evigt,forever,adverb,
ett,koldioxidutsläpp,carbon dioxide emissions,noun-ett,
att,fängsla,captivate,verb,
en,utflykt,excursion,noun-en,
att,gratulera,congratulate,verb,
en,studerande,student,noun-en,
ett,upprop,call,noun-ett,
en,utgåva,edition,noun-en,
att,vädja,appeal,verb,
,finländsk,finnish,adjective,
en,morfar,grandfather,noun-en,
en,norrman,norwegian,noun-en,
,skandinavisk,scandinavian,adjective,
en,tumme,thumb,noun-en,
ett,utslag,rash,noun-ett,
en,familjemedlem,family member,noun-en,
att,lasta,load,verb,
en,ledarsida,editorial,noun-en,
,skräp,debris,noun-ett,
att,smitta,infection,verb,
att,påtala,complaining,verb,
,stort,large,adverb,
en,levnadsstandard,standard of living,noun-en,
ett,palats,palace,noun-ett,
,tyska,german,noun-en,
en,opinionsundersökning,opinion poll,noun-en,
,vetenskapligt,scientifically,adverb,
att,revidera,revise,verb,
,lovande,promising,adjective,
en,orolighet,disturbance,noun-en,
en,brud,bride,noun-en,
ett,tillvägagångssätt,approach,noun-ett,
att,klistra,paste,verb,
,trams,nonsense,noun-ett,
,isär,apart,particle,
,kärleksfull,loving,adjective,
,usch,yuk,interj,
ett,avslöjande,disclosure,noun-ett,
att,beskatta,tax,verb,
ett,skrivbord,desk,noun-ett,
,utrikespolitisk,foreign political,adjective,
att,vakta,guard,verb,
en,arbetskamrat,coworker,noun-en,
,idiotisk,idiotic,adjective,
,spontant,spontaneously,adverb,
en,tillställning,event,noun-en,
,tvärs,across,adverb,
ett,budgetår,financial year,noun-ett,
att,förtrycka,oppress,verb,
,passande,suitable,adjective,
en,atom,atom,noun-en,
att,avta,subside,verb,
ett,chips,potato chips,noun-ett,
en,markering,marking,noun-en,
,tillåten,allowed,adjective,
en,öken,desert,noun-en,
,sammanhängande,coherent,adjective,
en,fläck,stain,noun-en,
,retorisk,rhetorical,adjective,
en,borgmästare,mayor,noun-en,
en,förlorare,loser,noun-en,
en,melodi,melody,noun-en,
en,senat,senate,noun-en,
,skarpt,sharply,adverb,
en,sjöman,sailor,noun-en,
att,bläddra,browse,verb,
en,bärare,carrier,noun-en,
en,gissning,guess,noun-en,
,i,in,adverb,
ett,stryk,ironing,noun-ett,
,strålning,radiation,noun-en,
,terräng,terrain,noun-en,
att,väva,weave,verb,
,skönt,good,adverb,
att,spricka,crack,verb,
,äldreomsorg,elderly,noun-en,
att,övertala,persuade,verb,
,känslomässig,emotional,adjective,
,feber,fever,noun-en,
att,härja,ravage,verb,
en,spelregel,game rule,noun-en,
,bekymrad,concerned,adjective,
att,annonsera,advertise,verb,
en,belastning,loading,noun-en,
en,flock,flock,noun-en,
en,inspektion,inspection,noun-en,
en,laddning,charge,noun-en,
en,sammanslutning,association,noun-en,
ett,svek,betrayal,noun-ett,
,aska,ash,noun-en,
att,bekymra,worry,verb,
en,finanspolitik,fiscal,noun-en,
,godtycklig,arbitrary,adjective,
en,bluff,bluff,noun-en,
att,distribuera,distribute,verb,
,from,from,adjective,
ett,förlopp,course,noun-ett,
en,nedläggning,closure,noun-en,
att,bestrida,contest,verb,
en,huvudman,principal,noun-en,
,ikapp,up,particle,
,empati,empathy,noun-en,
,sammansatt,composite,adjective,
,avlyssning,interception,noun-en,
,dessförinnan,before,adverb,
,golf,golf,noun-en,
,rasande,furious,adjective,
,reaktionär,reactionary,adjective,
att,vifta,wave,verb,
ett,överklagande,appeal,noun-ett,
,anor,ancestry,noun,
en,dominans,dominance,noun-en,
en,lax,salmon,noun-en,
en,organisering,organization,noun-en,
ett,gift,married,noun-ett,
,prostituerad,prostitute,adjective,
att,återupprätta,restore,verb,
att,hacka,hack,verb,
,medial,medial,adjective,
en,entr,entr,noun-en,
en,farbror,uncle,noun-en,
,livlig,lively,adjective,
,packning,packing,noun-en,
en,essä,essay,noun-en,
,magi,magic,noun-en,
,självständigt,independently,adverb,
,trötthet,fatigue,noun-en,
,konsekvent,consistent,adjective,
,rådgivning,consulting,noun-en,
att,smälla,pop,verb,
,journalistisk,journalistic,adjective,
en,officerare,officers,noun-en,
en,tjuv,thief,noun-en,
en,vidd,width,noun-en,
en,belysning,lighting,noun-en,
att,hänföra,relate,verb,
en,nationalstat,nation state,noun-en,
en,nedladdning,download,noun-en,
,växthuseffekt,greenhouse effect,noun-en,
en,grotta,cave,noun-en,
,matematisk,mathematical,adjective,
,ovanpå,top,prep,
en,pärla,gem,noun-en,
,värk,pain,noun-en,
en,halvlek,half,noun-en,
,påtagligt,markedly,adverb,
,benägen,prone,adjective,
att,recensera,review,verb,
att,diskriminera,discriminate,verb,
en,pilot,pilot,noun-en,
en,eftertanke,reflection,noun-en,
,fiktiv,fictitious,adjective,
,närliggande,nearby,adjective,
,pålitlig,reliable,adjective,
en,korv,sausage,noun-en,
att,reformera,reform,verb,
en,pop,pop,noun-en,
att,fördubbla,double,verb,
,militant,militant,adjective,
,sammantaget,total,adverb,
en,tillkomst,advent,noun-en,
en,incident,incident,noun-en,
,intill,next to,adverb,
,underrättelse,notification,noun-en,
att,redigera,edit,verb,
,stadigt,firmly,adverb,
att,baka,bake,verb,
,gud,god,interj,
,herregud,oh my god,interj,
en,observatör,observer,noun-en,
,facit,hindsight,noun,
en,gruva,mine,noun-en,
,obekväm,uncomfortable,adjective,
,fossil,fossil,adjective,
en,verkning,effective,noun-en,
att,kompromissa,compromise,verb,
en,konspirationsteori,conspiracy theory,noun-en,
en,nacke,neck,noun-en,
att,svälja,swallow,verb,
att,tillstyrka,to strength,verb,
,rättfärdighet,righteousness,noun-en,
en,adressat,addressee,noun-en,
ett,frågetecken,question mark,noun-ett,
en,image,image,noun-en,
en,njutning,enjoyment,noun-en,
,utmärkt,excellent,adverb,
,isländsk,icelandic,adjective,
att,skörda,harvest,verb,
att,såga,saw,verb,
en,sökmotor,engine,noun-en,
,drastiskt,drastically,adverb,
,dyrbar,precious,adjective,
att,haka,hook,verb,e.g. haka av/fast/på
att,knacka,tap,verb,
,offentlighet,publicity,noun-en,
,sekretess,secrecy,noun-en,
att,utkomma,to be published,verb,
en,indelning,division,noun-en,
,utomordentligt,extraordinarily,adverb,
,olympisk,olympic,adjective,
att,skryta,boast,verb,
att,ankomma,arrive,verb,
ett,index,index,noun-ett,
,umgänge,intercourse,noun-ett,
,välsignad,blessed,adjective,
att,avsky,disgust,verb,
att,förmoda,assume,verb,
en,lyx,luxury,noun-en,
ett,skåp,cabinet,noun-ett,
en,svamp,sponge,noun-en,
ett,uppehåll,rain,noun-ett,
,inbördes,mutual,adjective,
en,indikation,indication,noun-en,
,jämlik,equal,adjective,
en,staty,statue,noun-en,
ett,uppförande,conduct,noun-ett,
,överensstämmelse,conformity,noun-en,
,i,in,adverb,
en,puss,kiss,noun-en,
en,spricka,crack,noun-en,
,kemikalier,chemicals,noun,(plural)
,konkurrenskraftig,competitive,adjective,
,tankegång,thinking,noun-en,
en,supporter,supporter,noun-en,
,symbolisk,symbolic,adjective,
ett,mervärde,value,noun-ett,
,midsommar,midsummer,noun-en,
en,misstro,distrust,noun-en,
en,fälla,trap,noun-en,
,blues,blues,noun-en,
en,jury,jury,noun-en,
en,kör,drive,noun-en,
,lyckligtvis,fortunately,adverb,
,jordisk,earthly,adjective,
att,pumpa,pumpkin,verb,
en,harmoni,harmony,noun-en,
en,trea,third,noun-en,
en,avvägning,balance,noun-en,
,markant,significant,adverb,
att,slopa,abolish,verb,
,stål,steel,noun-ett,
,vinning,gain,noun-en,
,främlingsfientlig,eradicates,adjective,
en,mössa,hat,noun-en,
en,riksdagsman,member of parliament,noun-en,
,runtom,around,adverb,
ett,skikt,layer,noun-ett,
,avsevärd,considerable,adjective,
att,avvakta,await,verb,
en,dimma,fog,noun-en,
en,förundersökning,preliminary investigation,noun-en,
,huvudvärk,headache,noun-en,
,ohälsa,illness,noun-en,
att,praktisera,practice,verb,
att,rusta,equip,verb,
en,subvention,subsidy,noun-en,
att,prisa,praise,verb,
,odemokratisk,undemocratic,adjective,
att,trilla,fall,verb,
,valfri,optional,adjective,
en,mina,mine,noun-en,
en,ände,end,noun-en,
en,hyresrätt,tenancy,noun-en,
,härom,other,adverb,
en,låga,low,noun-en,
,vital,vital,adjective,
en,damm,dust,noun-en,
,giftig,toxic,adjective,
en,pizza,pizza,noun-en,
,shopping,shopping,noun-en,
att,färga,color,verb,
en,brygga,bridge,noun-en,
en,kyckling,chicken,noun-en,
ett,löv,leaf,noun-ett,
en,specialist,specialist,noun-en,
att,handlägga,handle,verb,
ett,hyckleri,hypocrisy,noun-ett,
ett,kännetecken,characteristics,noun-ett,
,överklass,upper,noun-en,
,drivande,driving,adjective,
ett,arbetssätt,working,noun-ett,
en,hora,whore,noun-en,(stötande)
ett,nobelpris,nobel prize,noun-ett,
en,enkelhet,simplicity,noun-en,
en,förpliktelse,obligation,noun-en,
ett,larm,alarm,noun-ett,
en,lättnad,relief,noun-en,
en,predikan,sermon,noun-en,
,ammunition,ammunition,noun-en,
ett,begär,asks,noun-ett,
,entydig,unambiguous,adjective,
att,missförstå,misunderstand,verb,
en,översvämning,flood,noun-en,
att,matcha,match,verb,
att,korrigera,correct,verb,
att,försätta,plunge,verb,
,frånvarande,absent,adjective,
en,inblick,insight,noun-en,e.g. inblick i
,ved,firewood,noun-en,
,mjukvara,software,noun-en,
en,motpart,counterpart,noun-en,
ett,riksdagsparti,parliament portion,noun-ett,
,storskalig,scale,adjective,
ett,överflöd,abundance,noun-ett,
en,gröda,crop,noun-en,
en,jacka,jacket,noun-en,
ett,mottagande,receiving,noun-ett,
en,spårvagn,tram,noun-en,
att,återhämta,recovering,verb,e.g. återhämta sig
att,donera,donate,verb,
,sjukpenning,sickness benefit,noun-en,
ett,bevarande,conservation,noun-ett,
en,bokhylla,bookshelf,noun-en,
en,insida,inside,noun-en,
att,överraska,surprise,verb,
,blöt,wet,adjective,
att,relatera,relate,verb,
en,underrättelsetjänst,intelligence,noun-en,
en,dynamik,dynamics,noun-en,
en,anmälning,application,noun-en,
en,farhåga,fear,noun-en,
ett,rovdjur,predator,noun-ett,
en,tillsynsmyndighet,regulator,noun-en,
att,adoptera,adopt,verb,
att,administrera,administer,verb,
,alltihop,everything,pronoun,
,dramatiskt,dramatically,adverb,
,korkad,stupid,adjective,
en,marsch,march,noun-en,
en,smäll,bang,noun-en,
,less,less,adjective,(vardagligt)
,följande,following,adjective,
en,expedition,expedition,noun-en,
,heltäckande,full,adjective,
att,konvertera,convert,verb,
,i,in,prep,
,katastrofal,disastrous,adjective,
en,näringsidkare,trader,noun-en,
,otur,bad luck,noun-en,
en,flygning,flight,noun-en,
en,hierarki,hierarchy,noun-en,
ett,magasin,magazine,noun-ett,
,plast,plastic,noun-en,
,stadig,steady,adjective,
,krävande,demanding,adjective,
,täckt,covered,adjective,
att,verifiera,verify,verb,
,blek,pale,adjective,
,förbjuden,prohibited,adjective,
,förnybar,renewable,adjective,
en,kyrkogård,cemetery,noun-en,
en,ovilja,unwillingness,noun-en,
en,anarkist,anarchist,noun-en,
en,kartläggning,survey,noun-en,
att,krympa,shrink,verb,
en,skål,bowl,noun-en,
att,underskatta,underestimate,verb,
att,skifta,shift,verb,
en,spänn,tension,noun-en,(vardagligt)
en,auktion,auction,noun-en,
att,halka,slip,verb,
en,kista,coffin,noun-en,
,sex,six,noun-ett,
en,vätska,liquid,noun-en,
,fascistisk,fascist,adjective,
en,hiss,elevator,noun-en,
en,tå,toe,noun-en,
en,bestraffning,punishment,noun-en,
,bokstavligen,literally,adverb,
,empirisk,empirical,adjective,
,felaktigt,incorrectly,adverb,
att,konfrontera,confront,verb,
,materia,matter,noun-en,
,medborgerlig,civic,adjective,
,övergiven,abandoned,adjective,
att,tillfredsställa,satisfying,verb,
en,anmärkning,remark,noun-en,
ett,nej,no,noun-ett,
en,skida,ski,noun-en,
,förgäves,in vain,adverb,
,hiv,hiv,noun,e.g. obotligt sjuk i hiv
en,kabel,cable,noun-en,
en,projektledare,project,noun-en,
,strikt,strictly,adverb,
,damm,dust,noun-ett,
en,klinik,clinic,noun-en,
en,råtta,rat,noun-en,
en,strömning,flow,noun-en,
att,kandidera,candidate,verb,
en,revolutionär,revolutionary,noun-en,
en,ritning,drawing,noun-en,
,utmed,along,prep,
en,visdom,wisdom,noun-en,
att,uppfostra,raise,verb,
en,lagändring,amendment,noun-en,
,så,so,subj,e.g. så länge som jag är frisk
ett,kulturarv,heritage,noun-ett,
,nordlig,northern,adjective,
att,plantera,plant,verb,
en,chaufför,driver,noun-en,
,inuti,inside,prep,
att,förbruka,consume,verb,
en,budgetproposition,budget,noun-en,
en,ceremoni,ceremony,noun-en,
,uran,uranium,noun-ett,
att,aktualisera,actualize,verb,
en,barnfamilj,family with children,noun-en,
en,population,population,noun-en,
att,undanröja,remove,verb,
en,utväg,resort,noun-en,
ett,entreprenörskap,entrepreneurial,noun-ett,
,godtagbar,acceptable,adjective,
en,mardröm,nightmare,noun-en,
en,storebror,big brother,noun-en,
att,isolera,isolate,verb,
ett,kalas,party,noun-ett,
,kopiering,copying,noun-en,
en,paroll,slogan,noun-en,
att,shoppa,shop,verb,
ett,språkbruk,parlance,noun-ett,
,diabetes,diabetes,noun-en,
,fortlöpande,continuous,adjective,
,klädsel,dress,noun-en,
,svagt,low,adverb,
ett,ämbete,office,noun-ett,
en,historik,history,noun-en,
ett,intyg,certificate,noun-ett,
en,konversation,conversation,noun-en,
en,växel,gear,noun-en,
,byråkratisk,bureaucratic,adjective,
en,etablering,establishment,noun-en,
,förnuftig,sensible,adjective,
att,hedra,honor,verb,
,omedveten,unaware,adjective,
,stundtals,sometimes,adverb,
att,tjata,nag,verb,
,tjeckisk,czech,adjective,
,åtanke,mind,noun-en,e.g. i åtanke
,fördelaktig,advantageous,adjective,
en,assistent,assistant,noun-en,
,läskig,scary,adjective,
,nationalekonomi,economics,noun-en,
att,återfå,regain,verb,
,övernaturlig,supernatural,adjective,
,elektricitet,electricity,noun-en,
,grovt,rough,adverb,
,javisst,sure,interj,
att,beskylla,accuse,verb,
,obegränsad,unrestricted,adjective,
en,anordning,device,noun-en,
en,fluga,fly,noun-en,
ett,förråd,storehouse,noun-ett,
att,spänna,range,verb,
,oönskad,undesirable,adjective,
att,marschera,march,verb,
en,päls,fur,noun-en,
,till,to,adverb,
en,slant,root,noun-en,
ett,upprättande,establishment,noun-ett,
att,överdriva,exaggerate,verb,
att,reparera,repair,verb,
en,central,central,noun-en,
en,erövring,conquest,noun-en,
en,justering,adjustment,noun-en,
,nedanstående,below,adjective,
att,propagera,canvass,verb,
en,talesman,spokesman,noun-en,
ett,uppträdande,performance,noun-ett,
en,tandläkare,dentist,noun-en,
ett,utförande,performance,noun-ett,
en,utgivare,publisher,noun-en,
,underordnad,subordinate,adjective,
en,explosion,explosion,noun-en,
en,fraktion,fraction,noun-en,
att,renovera,renovate,verb,
,snyggt,neat,adverb,
att,beröva,deprive,verb,
en,japan,japanese,noun-en,
en,omvandling,conversion,noun-en,
en,tillåtelse,permission,noun-en,
,vidrig,obnoxious,adjective,
,förmögen,moneyed,adjective,
,nedanför,below,prep,
,oförmögen,unable,adjective,
att,slösa,waste,verb,
,arbetsmarknadspolitik,labor policy,noun-en,
,inkomstskatt,income tax,noun-en,
att,skämta,joke,verb,
att,underrätta,inform,verb,
,världslig,worldly,adjective,
en,cigarett,cigarette,noun-en,
